,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
PRDM13,54.9387988771938,2.16770860175418,0.263758849887763,8.21852462079131,2.06021948355333e-16,1.09863022884701e-15,up
BEND6,66.3499686671464,1.90320463397483,0.231961103640243,8.20484384712438,2.30890786427421e-16,1.22685799166713e-15,up
PFKP,789.496545883592,-1.07870748607634,0.131700423488368,-8.19061516663704,2.59894346488875e-16,1.37728994192172e-15,down
ID2,179.737501098663,1.06913278368773,0.131018455530564,8.16016933918388,3.34555218762087e-16,1.7627690833096e-15,up
TFR2,105.15927657603,-1.49245134812317,0.183086466178526,-8.1516202659562,3.59080327109732e-16,1.8903218102789e-15,down
DMGDH,59.3337683267244,2.03275749621606,0.249562812794295,8.14527402322392,3.78423940192186e-16,1.98951925189625e-15,up
CNN1,98.2815571647404,-1.56332793210433,0.192081383635382,-8.13888312608114,3.98940842628351e-16,2.09369349393471e-15,down
ZNF319,210.50374865088,1.02652726515067,0.126281576393358,8.12887591736349,4.33289556832632e-16,2.26499172807032e-15,up
PCDHB8,86.7461887866368,-1.53091205228758,0.188507671677505,-8.12121882713949,4.61525013414741e-16,2.40942314443083e-15,down
GALNT12,191.169802467223,-1.03515738829493,0.127664313382137,-8.10843187787646,5.12771989875911e-16,2.67111662324443e-15,down
PIM2,145.224560523931,-1.16368804146996,0.143904088798911,-8.08655300334151,6.13770135366492e-16,3.18610267397166e-15,down
FOLR1,113.552649971092,-1.36949683939034,0.169558092416269,-8.07685920426726,6.6456201438476e-16,3.44078136701207e-15,down
TUBB4A,122.188805572736,-1.30093562799947,0.161279500396603,-8.06634212531869,7.24356445494495e-16,3.74224687670153e-15,down
PSMC3IP,196.440652979679,-1.02841070845049,0.128259367699583,-8.01821127685033,1.07296138946497e-15,5.49092939293335e-15,down
APOLD1,138.990540852943,-1.19661916323799,0.149276080925039,-8.01614803806972,1.09112987278565e-15,5.58151297275302e-15,down
IFIT3,107.51957875065,-1.36624386451804,0.170446495622609,-8.01567588425572,1.09532999185998e-15,5.60059643073196e-15,down
CENPQ,123.083339956412,-1.25570767577273,0.156815079364191,-8.00756968567063,1.16997452121299e-15,5.97714178310484e-15,down
ZDHHC11,159.875123226045,1.1232573621166,0.140324281964225,8.00472552856512,1.19733428085042e-15,6.11168191538925e-15,up
BMPR1B-DT,158.527095983752,-1.09513272815829,0.137240895002208,-7.97963848997535,1.46762494774916e-15,7.45308556905054e-15,down
IL10RB,137.438867444931,1.20684727782044,0.151393451384232,7.97159498502676,1.56639432140138e-15,7.93440248832148e-15,up
FAM122A,177.712275157824,1.04312025121861,0.130981879878275,7.96385158151656,1.66765268506353e-15,8.4365686514516e-15,up
CEP162,111.358149461833,-1.30888542326362,0.164511433580396,-7.95619729752078,1.7740742490091e-15,8.95975093836986e-15,down
