,NC1,NC2,NC3,PUS71,PUS72,PUS73
RERE,10.9294181576837,10.9989785944333,11.0165677149375,10.9505454249649,10.9229817037209,10.9293783965038
ENO1,13.7252350066235,13.712908519439,13.7527019724701,13.8590491274915,13.8401513535244,13.8164491929371
ENO1-AS1,2.9985786238259,3.00180378442461,3.02531599483042,2.9470933643056,3.0021638993903,2.99891072380143
GPR157,8.36942362550528,8.36200087402203,8.32419725429963,8.03113177595342,8.01507133733665,8.02168256113391
MIR34AHG,5.87697808305135,5.85934536397315,5.88849321362575,5.72016551074034,5.7496141455857,5.70792000167296
H6PD,10.4909003933335,10.6178563335954,10.5414512923251,10.4170882873872,10.446554681993,10.350276546159
SLC25A33,9.68088985711767,9.61692920211968,9.64541144657647,9.36233333889287,9.34100661643849,9.33024803466616
TMEM201,8.02046779951856,8.07466289695166,7.99869542312735,8.00584691792408,8.034682738857,7.9542530662766
PIK3CD,6.76498733586769,6.76872925903096,6.77538993124511,6.97891524794452,6.96778552466694,7.00559462892546
PIK3CD-AS2,5.86256594019253,5.92602322204207,5.94501147464976,5.8904368723162,5.91076337129131,5.99357428835195
CLSTN1,11.0621553070772,11.0705750830509,11.053748675687,11.5572508261408,11.5273657596605,11.5657916378561
CTNNBIP1,8.66546164748918,8.68105951223616,8.65559092699413,8.57592574099871,8.56725518618006,8.51826442529361
LZIC,9.50600398853528,9.50776010531941,9.44200484253656,9.04893259732826,9.02576387129724,9.08601051188977
NMNAT1,7.67289401840798,7.63806679967631,7.66148730774799,7.49752002134766,7.57083188867855,7.46672247077784
UBE4B,11.2690466825614,11.2799973372259,11.2525116068823,11.0947026181608,11.0823342554311,11.0968398326179
KIF1B,10.858015017951,10.9304826440303,10.9373798378,10.9180344014,10.8987852262214,10.9139396209397
PGD,11.1884055056721,11.2040676054647,11.1985998764105,11.2740732530639,11.2747189095242,11.2718545991512
DFFA,11.414727122928,11.3457457065043,11.3691327711477,11.4602181923875,11.4805364230782,11.4621698642609
PEX14,8.80696401437477,8.66917698071022,8.74615190853624,8.96287181197446,8.98767004972421,8.91020721334093
TARDBP,11.5556161693809,11.5267713893332,11.5499705463946,11.6002297195365,11.6049942331189,11.5976643079283
SRM,9.82872939373834,9.78659826270542,9.85063248772598,9.3520706700805,9.29582340318156,9.32767048197933
EXOSC10,10.2446849709015,10.2770360998902,10.2432257986203,10.3963729213301,10.4320726317421,10.4720003229197
EXOSC10-AS1,3.18999099219844,3.12251243380502,3.10410112891894,3.07537667930542,3.05607788575725,3.07761965294358
MTOR,10.903886828129,10.9831480996763,10.9993391482008,10.8870161023246,10.9082190591697,10.9389353775
UBIAD1,9.00880452416952,8.99262179707675,8.96413521110839,8.57342085844836,8.61670664055308,8.61547862391335
FBXO2,9.86887841443959,9.80619196686095,9.8655642306947,9.84755998149561,9.81168064669845,9.88330901947501
FBXO44,8.98833350930515,8.90597187978681,8.90808944915991,9.21893436401184,9.16890180711884,9.21719982037275
MAD2L2,8.60878530426889,8.56896568187286,8.62854116993077,8.50152032872025,8.49112075274297,8.59593746564678
AGTRAP,8.47564069324258,8.43879297074501,8.42442257758764,8.50418633957184,8.47731688032975,8.48857146622007
MTHFR,8.96589058775851,9.01321119339597,9.00647435964557,8.97673723263157,8.94430670243892,8.94974797066862
CLCN6,9.39692166456111,9.39439886187725,9.4518052343413,9.53870417974782,9.45649598140837,9.50872131596298
KIAA2013,9.54493127419485,9.56176834124163,9.55183968572657,10.056829824891,10.0557238355239,10.0239763324482
PLOD1,11.3550435746661,11.3273231389305,11.3649866965084,12.0076963469155,11.9496929274666,11.9628569922683
MFN2,11.128464609052,11.128318685973,11.1289393042711,11.081969793527,11.0900427145739,11.0514317746175
MIIP,8.32474511134035,8.31031927499104,8.33744181130913,8.22484905226099,8.17348709161561,8.21109378950755
VPS13D,9.61133272562565,9.75866934500157,9.70751528963664,9.68143828791027,9.68675433348525,9.69879812158501
PRDM2,9.90367012946265,9.96719404006743,9.91281066413448,9.77340685371571,9.82563619485994,9.78378990870163
EFHD2,8.33961237023038,8.28148246461941,8.29417809934696,8.23944432400644,8.22896487887422,8.27210533775749
CASP9,7.65831144537047,7.69671769678403,7.72622305896325,7.86862675686464,7.9238023132488,7.88493620942863
DNAJC16,9.57545905253758,9.62194921686944,9.5913510264112,9.78255655273062,9.78251445885058,9.78027303802612
DDI2,10.4220259398254,10.5176493097444,10.4826655752434,10.3550256376896,10.2854642566057,10.352892573713
PLEKHM2,9.82555889229023,9.8551615028049,9.95087170558861,9.9617653482066,9.93158990267058,9.90658908645162
FBLIM1,8.88350209355075,8.82476951298933,8.94462604618634,8.35033377521604,8.40533185081214,8.45275670007674
UQCRHL,6.1815106848503,6.18484137965667,6.14289630232179,6.34637774926455,6.35646461616398,6.36102643269233
FLJ37453,6.07919645392032,6.01616973910319,5.9636540606649,6.02294224046771,6.04397768912994,6.06083684568141
SPEN,11.1085393077767,11.2481911718128,11.2156197746398,11.1673870362775,11.1895519437859,11.2191078013136
ZBTB17,8.34141640323377,8.29356326733906,8.37132664106078,8.43382659731086,8.38128843710021,8.49362489711142
EPHA2,10.3696531995412,10.3572540941271,10.4179260799216,10.4214698745683,10.4774312229184,10.4795568077352
ARHGEF19,6.08732480838085,6.16851681978451,6.17896008570688,6.18324347861869,6.23199001231994,6.09468047525323
CPLANE2,5.73419549588773,5.6625067563922,5.67368714509916,5.58040235252943,5.68761605996956,5.56351758253523
FBXO42,9.91895387166247,9.92723555440506,9.95281887405257,9.65310201273624,9.70013584745915,9.68256318771607
SZRD1,10.7150585851714,10.6690606171332,10.6755116540308,10.7483759537853,10.7219758779616,10.7225607762239
NECAP2,8.32161045255284,8.38670894554128,8.31791973514057,8.62357164357649,8.61390266529724,8.56041860683588
CROCCP3,7.2223589758908,7.3736698362952,7.31830338026631,7.44103353140723,7.42463851722144,7.42415670990856
NBPF1,10.8882921050642,10.889400732671,10.9192364194306,10.5941861359324,10.6443139012681,10.5849490654922
CROCCP2,8.27870917545839,8.19918923281833,8.30540022037171,8.29313601068674,8.35044203791027,8.42662653073242
MST1P2,6.49304954716827,6.43239406282508,6.50178946862799,6.60531871897816,6.73307601385742,6.56589755484236
CROCC,8.28074043309999,8.3328843580801,8.27450000409773,8.82116940339663,8.77264205390482,8.73092985867934
MFAP2,9.43148516313052,9.36947458837112,9.42397546662456,9.78065419583528,9.69714480009852,9.71580858023755
ATP13A2,8.54165058678636,8.61834738176272,8.6330577204301,8.52983114375585,8.52882642743957,8.51293718634976
SDHB,9.47969323590051,9.43261648458625,9.45253560292395,9.56584835491081,9.50024889643543,9.59387625509843
RCC2,12.2748142513454,12.2591166490177,12.2504672611532,12.086643849065,12.1344757052267,12.096635660863
ARHGEF10L,6.89941107301692,6.97271148580089,6.88672996975579,7.01015766967192,7.08606722121609,7.10117367702485
ALDH4A1,8.01978622171696,8.00260964025775,8.01243914660343,8.10853398230615,8.10963211221743,8.18350370510612
IFFO2,7.87051598233807,7.89856304108057,7.88369565818829,7.94361938720766,7.93832185152275,7.86098453330906
UBR4,12.7953426702532,12.9545139324817,12.9699534894235,12.9501697879054,12.9541601505035,12.9755490273395
EMC1-AS1,4.42739586503227,4.38615288098222,4.34248499106578,4.37011961787369,4.37363809874369,4.50716031035975
EMC1,10.9805106615473,10.9997846636796,10.9933090017364,10.5430576670342,10.5159540480606,10.6454234569253
MRTO4,9.64122081633317,9.60962698039641,9.66058059202577,9.35692287795289,9.32125578134309,9.27633527948792
LOC100506730,5.56560292732617,5.5570855615684,5.49806681341701,5.80258308944697,5.70612805749745,5.63624842603876
AKR7A2,8.01366859796023,8.06748273514631,8.06806435955753,8.38400445932411,8.36336323970169,8.30818198679349
SLC66A1,8.1780834815079,8.09503769391905,8.10215349343311,7.91162270395605,8.02258238953427,7.95738306395708
CAPZB,10.8198420650851,10.7551001855576,10.8146274925655,10.8521001613403,10.7879921250279,10.7864498462323
MICOS10,8.76816015802709,8.6569309276505,8.73428045504792,8.76237151522031,8.60480438695449,8.58125722614797
RPS14P3,3.91935198635174,3.93313933206989,3.92623329746683,3.96343298256378,3.98968823193854,3.98338918241857
TMCO4,6.43009483642948,6.42277590529986,6.39413873139356,6.45052362602309,6.46771997983351,6.52400711405408
OTUD3,8.65474659294701,8.69644258662392,8.63955498488117,8.86231860982708,8.75899298168147,8.82997564466894
MUL1,8.43288384643161,8.35733278893992,8.44282349223408,8.23290148470407,8.28261287816311,8.26204434649681
PINK1,7.1003013558829,7.19044381053121,7.18542030247805,7.08469575314017,7.10737825164972,7.08418145263155
PINK1-AS,7.09915435004957,7.07323215356045,7.1365265866919,6.93008340155924,6.81836874004608,6.99335114762789
DDOST,11.7803041864127,11.7929356529222,11.7999403493788,11.8024926865141,11.7971470766896,11.7638498068279
