Geneid	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
ENSMUSG00000089787.2	0	0	0	0	0	0	0	0
ENSMUSG00000042596.7	0	0	0	0	0	0	0	0
ENSMUSG00000100720.1	27	27	35	22	29	17	20	37
ENSMUSG00000025927.13	0	0	0	0	0	0	0	0
ENSMUSG00000100538.1	0	0	0	0	0	0	0	0
ENSMUSG00000101117.1	0	0	0	0	0	0	0	0
ENSMUSG00000100204.1	0	0	0	7	3	0	6	11
ENSMUSG00000084668.1	0	0	0	0	0	0	0	0
ENSMUSG00000102597.1	0	0	0	0	0	0	0	0
ENSMUSG00000043760.16	0	2	0	0	0	0	0	0
ENSMUSG00000104095.1	0	0	0	0	0	0	0	0
ENSMUSG00000089914.2	0	0	0	0	0	0	0	0
ENSMUSG00000090142.2	1	9	7	4	5	4	10	13
ENSMUSG00000070175.1	0	0	0	0	0	0	0	0
ENSMUSG00000099906.2	0	0	0	0	0	0	0	0
ENSMUSG00000065559.1	0	0	0	0	0	0	0	0
ENSMUSG00000065480.1	0	0	0	0	0	0	0	0
ENSMUSG00000025929.4	0	0	0	0	0	0	0	0
ENSMUSG00000041872.9	0	0	0	0	0	0	0	0
ENSMUSG00000041859.10	1815	919	1751	407	1123	722	1307	1413
ENSMUSG00000099714.1	0	0	0	0	0	0	0	0
ENSMUSG00000102121.1	0	0	0	0	0	0	0	0
ENSMUSG00000088858.1	0	0	0	0	0	0	0	0
ENSMUSG00000097934.1	75	0	0	0	0	0	0	0
ENSMUSG00000025931.15	15	0	0	4	56	5	4	0
ENSMUSG00000077314.1	0	0	0	0	0	0	0	0
ENSMUSG00000100929.1	0	0	0	0	0	0	0	0
ENSMUSG00000041809.5	0	0	0	0	0	0	0	0
ENSMUSG00000041779.5	46	250	292	123	348	81	13	497
ENSMUSG00000099971.1	0	0	0	0	0	0	0	0
ENSMUSG00000100819.1	0	0	0	1	0	0	0	11
ENSMUSG00000025933.15	0	1	143	22	60	1	65	140
ENSMUSG00000102633.1	0	0	1	0	0	0	0	0
ENSMUSG00000025934.15	0	0	100	49	45	1	0	0
ENSMUSG00000099343.1	0	0	0	0	0	0	0	0
ENSMUSG00000096375.2	1	0	0	2	0	0	0	2
ENSMUSG00000025936.15	0	250	0	0	0	0	0	1
ENSMUSG00000093963.1	0	0	0	0	0	0	0	0
ENSMUSG00000067750.3	0	0	87	0	0	0	0	0
ENSMUSG00000086194.1	0	0	0	0	0	0	0	0
ENSMUSG00000094436.1	0	0	0	0	0	0	0	0
ENSMUSG00000041722.7	0	0	0	0	0	0	0	0
ENSMUSG00000085507.1	0	0	0	0	0	0	0	0
ENSMUSG00000094926.1	0	0	0	0	0	0	0	0
ENSMUSG00000085079.3	0	0	0	0	0	0	0	0
ENSMUSG00000085679.2	0	0	0	0	0	0	0	0
ENSMUSG00000028033.16	3	0	15	34	50	42	18	0
ENSMUSG00000104138.1	0	0	0	0	0	0	0	0
ENSMUSG00000082935.3	42	37	45	45	60	18	49	82
ENSMUSG00000103748.1	0	0	0	0	0	0	0	0
ENSMUSG00000099692.1	0	0	0	0	0	0	0	0
ENSMUSG00000100418.1	0	0	0	0	0	0	0	0
ENSMUSG00000041670.17	0	0	0	0	0	0	0	0
ENSMUSG00000097642.1	0	0	0	0	0	0	0	0
ENSMUSG00000101468.1	0	0	0	0	0	0	0	0
ENSMUSG00000101227.1	0	0	0	0	0	0	0	0
ENSMUSG00000073730.2	0	0	0	0	0	0	0	0
ENSMUSG00000089553.1	0	0	0	0	0	0	0	0
ENSMUSG00000102766.1	0	0	0	0	0	0	0	0
ENSMUSG00000065405.3	0	0	0	0	0	0	0	0
