X1	deg_anno	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000032840	Spring1	60.9689987693795	6.1567408181097	1.08267063457659	5.68662400316923	1.29575308661625e-8	7.80598680894389e-6	up
ENSMUSG00000030064	Frmd4b	32.93563784056	-7.32389544400162	1.30976620958172	-5.59175781939017	2.24782205611887e-8	1.26243240272459e-5	down
ENSMUSG00000070462	Tlnrd1	32.137491535362	6.91878057993873	1.23811876390409	5.58813966934973	2.2951502065185e-8	1.26243240272459e-5	up
ENSMUSG00000039989	Cbx4	33.6723133140882	5.95824446733826	1.06961795860274	5.57044168847129	2.54094349024839e-8	1.33939483729718e-5	up
ENSMUSG00000019027	Dnah1	66.822393041866	-7.15605548534716	1.29254514943901	-5.53640659164056	3.08740375229404e-8	1.56234979481088e-5	down
ENSMUSG00000034612	Chst11	53.6606578335705	9.13499226561441	1.65377969330472	5.52370566805069	3.31923333064105e-8	1.61506234099769e-5	up
ENSMUSG00000098708	NA	109.482074037611	-6.82586416535053	1.24082137226961	-5.50108526327624	3.77460607422228e-8	1.76861264611059e-5	down
ENSMUSG00000058486	Wdr91	42.9631711195101	8.08552097877851	1.47463591080812	5.48306257803496	4.18025064147053e-8	1.88872681661585e-5	up
ENSMUSG00000069919	Hba-a1	8006.46860065131	6.46502059935728	1.18309878650594	5.46448079661251	4.64263633921832e-8	2.02531008025693e-5	up
ENSMUSG00000041378	Cldn5	150.300756884813	-7.91025015326849	1.46262527161235	-5.40825480510706	6.36418389091841e-8	2.68377634680029e-5	down
ENSMUSG00000059479	B3gnt8	92.4172561592632	-8.83331539591202	1.67911783944995	-5.26068819494267	1.4351722765349e-7	5.85689176465903e-5	down
ENSMUSG00000048707	Tprn	77.6433221892868	-8.10897275930016	1.54884556951002	-5.23549469290567	1.64543552972454e-7	6.41288901309432e-5	down
ENSMUSG00000032109	Nlrx1	28.539609113163	6.73226647938285	1.28663795869007	5.23244820651569	1.67279533184818e-7	6.41288901309432e-5	up
ENSMUSG00000046470	Sox18	42.6505551747868	-9.20897238700218	1.76226563882613	-5.22564373049707	1.73550244457603e-7	6.45760041950922e-5	down
ENSMUSG00000040040	Ift88	79.3181235073545	-9.38036195714796	1.79786524806399	-5.2175000141134404	1.81354210003047e-7	6.55517745928156e-5	down
ENSMUSG00000056687	Gm11696	110.238167233423	-8.24857711356429	1.58384116768471	-5.20795726355705	1.90930883920385e-7	6.70962947910219e-5	down
ENSMUSG00000009876	Cox4i2	24.2745379454111	7.25695907495234	1.39541435900826	5.20057646540913	1.9867136156112701e-07	6.79294971651302e-5	up
