	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000036168	1.68473245264005	2.27208756086604	3.38930766959686	0.670369226508224	0.502622446905625	NA	NA
ENSMUSG00000020019	6.39534102146579	-6.4715329579219	3.38978382420109	-1.90912851483888	NA	NA	NA
ENSMUSG00000090159	0.0757274392712749	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000020020	7.6122726972843	-0.137170697202825	3.04104396838003	-0.0451064498340338	NA	NA	none
ENSMUSG00000110869	6.29754406588807	6.03367830014658	3.38871356497642	1.78052177749894	NA	NA	NA
ENSMUSG00000085409	0.0930845943474198	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000112203	12.5480403522525	-0.850588108796531	3.23906262737367	-0.262603168462418	NA	NA	none
ENSMUSG00000112744	47.229001352156	-7.55954830416776	2.67107797722775	-2.83014886447218	NA	NA	NA
ENSMUSG00000074780	2.11784229849499	1.16373064013528	2.37976476406275	0.489010786994154	0.624834059993036	NA	NA
ENSMUSG00000096486	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000094249	0.287525964105652	0.258418265418502	3.51391906688379	0.0735413253691333	0.941375360196023	NA	none
ENSMUSG00000112346	1.8535009582289	-4.67433416675772	3.40558041378981	-1.37255140058666	0.169891849183786	NA	NA
ENSMUSG00000090035	24.8681035060744	-0.483815211594124	1.44890105628256	-0.333918737581328	NA	NA	none
ENSMUSG00000089994	0.168500087111718	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000112805	10.6199394196898	-7.2029998778266	3.38723624823045	-2.12651239829804	NA	NA	NA
ENSMUSG00000112265	2.03146582770583	4.38346535413848	3.40005392299714	1.28923406905102	0.197316724162855	NA	NA
ENSMUSG00000112622	0.0642198761256268	0.31406437078676	3.5338115409304	0.0888741142953173	0.92918195592663	NA	none
ENSMUSG00000084399	3.4191853693619	-1.12862147496654	3.27633792052036	-0.344476516875062	0.730487953426736	NA	NA
ENSMUSG00000112900	3.84611121474677	4.54783369419536	3.37679945854707	1.3467882087828	0.178048453362126	NA	NA
ENSMUSG00000089904	1.28736646761167	3.7659422857811	3.40886315068012	1.10475021123383	0.269267839822342	NA	NA
ENSMUSG00000085282	12.2736801684508	-7.41060275439817	3.38671884172472	-2.18813639416971	NA	NA	NA
ENSMUSG00000111914	1.36343518236986	0.588613409374788	2.40670500379496	0.244572312953455	0.806787604140378	NA	none
ENSMUSG00000035948	0.141673896407117	-1.12860814961251	3.5338115409304	-0.319374176166556	0.749442790703098	NA	NA
ENSMUSG00000035759	30.0208846924533	7.5709553670877	2.57214034347272	2.94344567406689	NA	NA	NA
ENSMUSG00000087819	3.42509192228352	5.16904527856007	3.39308022115291	1.52340791895681	NA	NA	NA
ENSMUSG00000020205	1.05928569572545	3.4802219468501	3.41436862076585	1.01928711671134	0.308066678479511	NA	NA
